bookID,title,authors,average_rating,valor,publication_date,publisher,units
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,652,9/16/2006,Scholastic Inc.,12
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,870,9/1/2004,Scholastic Inc.,16
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,352,11/1/2003,Scholastic,6
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,435,5/1/2004,Scholastic Inc.,8
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,2690,9/13/2004,Scholastic,50
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,152,4/26/2005,Nimble Books,2
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,3342,9/12/2005,Scholastic,63
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,11/1/2005,Gramercy Books,15
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,4/30/2002,Del Rey Books,15
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,215,8/3/2004,Crown,4
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,6,3/23/2005,Random House Audio,0
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,1/17/1996,Wings Books,15
21,A Short History of Nearly Everything,Bill Bryson,4.21,544,9/14/2004,Broadway Books,10
22,Bill Bryson's African Diary,Bill Bryson,3.44,55,12/3/2002,Broadway Books,1
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,256,9/14/2004,Broadway Books,4
24,In a Sunburned Country,Bill Bryson,4.07,335,5/15/2001,Broadway Books,6
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.90,304,6/28/2000,Broadway Books,5
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,299,8/28/1990,William Morrow Paperbacks,5
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,254,3/28/1993,William Morrow Paperbacks,4
28,Notes from a Small Island,Bill Bryson,3.91,324,5/28/1997,William Morrow Paperbacks,6
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,270,9/28/1991,William Morrow Paperbacks,5
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,1728,9/25/2012,Ballantine Books,32
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.50,1184,10/21/2004,Houghton Mifflin Harcourt,22
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,398,9/5/2003,Houghton Mifflin Harcourt,7
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.50,1216,10/1/2002,Houghton Mifflin Harcourt,22
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,218,11/5/2003,Houghton Mifflin Harcourt,4
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.50,224,11/15/2004,Houghton Mifflin Harcourt,4
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,558,7/28/2005,Pragmatic Bookshelf,10
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,208,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,3
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.00,48,8/28/1994,Teacher Created Resources,0
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,144,1/23/2001,Delacorte Press,2
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,56,6/10/2003,Cherry Lane Music Company,1
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,228,11/1/2005,The New Press,4
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,304,11/1/2005,Changeling Press,5
58,Changeling (Changeling  #1),Delia Sherman,3.60,256,8/17/2006,Viking Juvenile,4
59,The Changeling Sea,Patricia A. McKillip,4.06,137,4/14/2003,Firebird,2
61,The Changeling,Zilpha Keatley Snyder,4.17,228,6/8/2004,iUniverse,4
63,The Changeling,Kate Horsley,3.55,339,4/12/2005,Shambhala,6
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,369,8/28/1990,Ivy Books,6
67,The Known World,Edward P. Jones,3.83,388,8/29/2006,Amistad,7
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,14,6/15/2004,HarperAudio,0
69,The Known World,Edward P. Jones,3.83,576,6/15/2004,Harper,10
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,334,5/15/2006,FT Press,6
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,352,12/14/2005,Archaia,6
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,416,6/1/1982,Farrar  Straus and Giroux,7
75,Uncommon Carriers,John McPhee,3.95,248,5/16/2006,Farrar Straus Giroux,4
76,Heirs of General Practice,John McPhee,4.17,128,4/1/1986,Farrar  Straus and Giroux,2
77,The Control of Nature,John McPhee,4.24,288,9/1/1990,Farrar  Straus and Giroux,5
78,Annals of the Former World,John McPhee,4.34,720,1/6/1999,Farrar  Straus and Giroux,13
79,Coming Into the Country,John McPhee,4.22,448,4/1/1991,Farrar  Straus and Giroux,8
80,La Place de la Concorde Suisse,John McPhee,3.92,160,4/1/1994,Farrar  Straus and Giroux,3
81,Giving Good Weight,John McPhee,4.23,288,4/1/1994,Farrar  Straus and Giroux,5
83,Rising from the Plains,John McPhee,4.23,208,11/1/1987,Farrar  Straus and Giroux,3
85,The Heidi Chronicles,Wendy Wasserstein,3.75,81,3/1/2002,Dramatists Play Service,1
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,249,7/2/1991,Vintage,4
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,138,3/29/2006,Routledge,2
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,128,3/14/2006,North Light Books,2
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,192,9/1/2003,Chosen Books,3
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,108,1/28/1997,Association for Supervision & Curriculum Development,2
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,352,11/15/2002,Kingfisher,6
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,192,11/15/2004,ASCD,3
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,192,4/28/2003,Sovereign World,3
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,832,10/16/2003,Workman Publishing Company,15
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,123,5/10/2004,One Hour Entertainment,2
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,128,8/19/2004,North Light Books,2
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,423,6/15/1987,Ace Books,7
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,436,7/1/1987,Ace Books,8
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,331,7/15/1987,Ace Books,6
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,592,7/1/2004,Tor Books,11
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,480,4/16/1984,Putnam,9
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,426,8/29/2006,Tor Science Fiction,8
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,471,8/15/1987,Ace Books,8
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,192,6/12/2002,Houghton Mifflin Harcourt,3
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,544,9/29/1996,Ballantine Books,10
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,291,9/13/2005,Delacorte Books for Young Readers,5
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,256,11/1/2004,Thomas Nelson,4
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,205,5/19/2006,Wiley,3
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,240,2/7/2000,Heinemann Drama,4
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,336,5/3/2005,William Morrow Paperbacks,6
133,eBay for Dummies,Marsha Collier,3.50,386,10/30/2006,Wiley,7
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,260,1/24/2006,McGraw-Hill,4
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,384,9/17/2004,Wiley,7
